dir	vel
262.5	7.9
261.1	6.2
258.3	7.31
259.7	5.08
262.5	5.08
271	3.94
285	1.7
294.8	2.26
299	0.56
320.1	2.82
325.7	3.38
328.5	3.94
329.9	3.94
331.3	4.5
329.9	3.94
332.7	3.94
325.7	3.38
308.9	2.26
303.2	1.7
279.4	1.7
286.4	0
287.8	0
315.9	1.7
334.1	3.38
328.5	2.82
336.9	2.82
335.5	1.7
336.9	2.26
338.3	2.82
334.1	2.26
327.1	1.12
328.5	0
328.5	0
328.5	0
328.5	0
328.5	0
328.5	0
328.5	0
327.1	0
314.5	0
294.8	1.12
293.4	2.26
303.2	2.26
296.2	2.26
289.2	2.26
282.2	1.7
282.2	1.12
248.5	0
247.1	0
248.5	0
249.9	0
249.9	0
262.5	0.56
275.2	0
272.4	0
258.3	0
259.7	0
262.5	0.56
245.7	0.56
